"ID","FloweringDate"
"Vu_001",8.26795393285066
"Vu_002",7.39004273472696
"Vu_003",7.48412266650118
"Vu_004",7.39004273472696
"Vu_005",9.31647820676405
"Vu_006",7.39004273472696
"Vu_007",8.1858387900577
"Vu_008",8.01815001597871
"Vu_009",7.29434585642692
"Vu_010",7.57665340660714
"Vu_011",7.48412266650118
"Vu_012",7.29434585642692
"Vu_013",9.03407400398365
"Vu_014",7.29434585642692
"Vu_015",7.29434585642692
"Vu_016",8.42892009861303
"Vu_017",8.01815001597871
"Vu_018",7.66769826029049
"Vu_019",8.01815001597871
"Vu_020",7.66769826029049
"Vu_021",7.75731647605794
"Vu_022",7.66769826029049
"Vu_023",7.84556359539382
"Vu_024",8.10258451513283
"Vu_025",8.10258451513283
"Vu_026",8.66273218033058
"Vu_027",8.1858387900577
"Vu_028",8.01815001597871
"Vu_029",8.1858387900577
"Vu_030",8.73876021315582
"Vu_031",9.10582864708755
"Vu_032",7.93249176494795
"Vu_033",7.19695938445311
"Vu_034",6.99679954011266
"Vu_035",7.93249176494795
"Vu_036",8.50784269821593
"Vu_037",7.84556359539382
"Vu_038",7.57665340660714
"Vu_039",7.93249176494795
"Vu_040",7.29434585642692
"Vu_041",7.29434585642692
"Vu_042",9.03407400398365
"Vu_043",10.1600308359162
"Vu_044",7.84556359539382
"Vu_045",9.31647820676405
"Vu_046",7.84556359539382
"Vu_047",8.9615138207459
"Vu_048",7.29434585642692
"Vu_049",7.19695938445311
"Vu_050",7.93249176494795
"Vu_051",8.34896878393622
"Vu_052",8.58576960758653
"Vu_053",7.66769826029049
"Vu_054",8.58576960758653
"Vu_055",7.75731647605794
"Vu_056",7.66769826029049
"Vu_057",8.9615138207459
"Vu_058",7.93249176494795
"Vu_059",8.42892009861303
"Vu_060",7.84556359539382
"Vu_061",8.26795393285066
"Vu_062",8.26795393285066
"Vu_063",7.29434585642692
"Vu_064",8.10258451513283
"Vu_065",8.10258451513283
"Vu_066",8.73876021315582
"Vu_067",8.10258451513283
"Vu_068",7.75731647605794
"Vu_069",8.10258451513283
"Vu_070",7.29434585642692
"Vu_071",8.66273218033058
"Vu_072",8.26795393285066
"Vu_073",7.57665340660714
"Vu_074",7.66769826029049
"Vu_075",7.75731647605794
"Vu_076",8.1858387900577
"Vu_077",7.75731647605794
"Vu_078",9.17680012232066
"Vu_079",7.29434585642692
"Vu_080",7.84556359539382
"Vu_081",7.66769826029049
"Vu_082",9.84772874948168
"Vu_083",7.57665340660714
"Vu_084",7.75731647605794
"Vu_085",8.1858387900577
"Vu_086",8.26795393285066
"Vu_087",8.26795393285066
"Vu_088",7.57665340660714
"Vu_089",7.29434585642692
"Vu_090",8.1858387900577
"Vu_091",9.31647820676405
"Vu_092",7.66769826029049
"Vu_093",7.75731647605794
"Vu_094",7.75731647605794
"Vu_095",8.01815001597871
"Vu_096",7.93249176494795
"Vu_097",7.29434585642692
"Vu_098",9.84772874948168
"Vu_099",7.75731647605794
"Vu_100",7.19695938445311
"Vu_101",7.84556359539382
"Vu_102",8.01815001597871
"Vu_103",7.66769826029049
"Vu_104",5.31909499065699
"Vu_105",5.46059063119711
"Vu_106",7.84556359539382
"Vu_107",8.9615138207459
"Vu_108",7.66769826029049
"Vu_109",7.66769826029049
"Vu_110",8.73876021315582
"Vu_111",7.66769826029049
"Vu_112",5.59778823214366
"Vu_113",5.59778823214366
"Vu_114",5.59778823214366
"Vu_115",6.22925912917456
"Vu_117",5.731005179646
"Vu_118",5.98659179486254
"Vu_119",5.31909499065699
"Vu_120",7.66769826029049
"Vu_121",7.57665340660714
"Vu_122",7.57665340660714
"Vu_123",NA
"Vu_124",7.39004273472696
"Vu_125",7.57665340660714
"Vu_126",7.48412266650118
"Vu_127",6.22925912917456
"Vu_128",7.39004273472696
"Vu_129",7.57665340660714
"Vu_130",7.48412266650118
"Vu_131",7.75731647605794
"Vu_132",7.84556359539382
"Vu_133",7.57665340660714
"Vu_134",8.10258451513283
"Vu_135",8.73876021315582
"Vu_136",8.10258451513283
"Vu_137",6.89385156191427
"Vu_138",7.39004273472696
"Vu_139",7.66769826029049
"Vu_140",7.57665340660714
"Vu_141",7.29434585642692
"Vu_142",7.48412266650118
"Vu_143",7.57665340660714
"Vu_144",7.57665340660714
"Vu_145",7.57665340660714
"Vu_146",7.57665340660714
"Vu_147",5.59778823214366
"Vu_148",5.86052280467507
"Vu_149",5.31909499065699
"Vu_150",7.66769826029049
"Vu_151",5.59778823214366
"Vu_152",5.46059063119711
"Vu_153",10.5753738901113
"Vu_154",5.31909499065699
"Vu_155",5.731005179646
"Vu_156",5.46059063119711
"Vu_157",5.86052280467507
"Vu_158",6.22925912917456
"Vu_159",7.29434585642692
"Vu_160",9.84772874948168
"Vu_161",8.26795393285066
"Vu_162",7.29434585642692
"Vu_163",7.39004273472696
"Vu_164",5.59778823214366
"Vu_165",7.57665340660714
"Vu_166",8.26795393285066
"Vu_167",8.1858387900577
"Vu_168",9.31647820676405
"Vu_169",9.84772874948168
"Vu_170",7.84556359539382
"Vu_171",8.01815001597871
"Vu_172",8.9615138207459
"Vu_173",8.01815001597871
"Vu_174",7.84556359539382
"Vu_175",7.66769826029049
"Vu_176",9.17680012232066
"Vu_177",8.26795393285066
"Vu_178",7.84556359539382
"Vu_179",7.75731647605794
"Vu_180",5.86052280467507
"Vu_181",7.75731647605794
"Vu_182",7.75731647605794
"Vu_183",7.75731647605794
"Vu_184",8.01815001597871
"Vu_185",7.19695938445311
"Vu_186",8.81388205042596
"Vu_187",7.57665340660714
