"Method","FD","Y1","Y2"
"Theoretical",1,0.944521653336645,0.805872657807584
"Theoretical",2,0.722260826668323,0.652936328903792
"Theoretical",3,0.648173884445548,0.601957552602528
"Theoretical",4,0.611130413334161,0.576468164451896
"Theoretical",5,0.588904330667329,0.561174531561517
"Theoretical",6,0.574086942222774,0.550978776301264
"Theoretical",7,0.563503093333806,0.543696093972512
"Theoretical",8,0.555565206667081,0.538234082225948
"Theoretical",9,0.549391294815183,0.533985850867509
"Theoretical",10,0.544452165333664,0.530587265780758
"Theoretical",11,0.540411059394241,0.527806605255235
"Theoretical",12,0.537043471111387,0.525489388150632
"Theoretical",13,0.534193973333588,0.523528665985199
"Theoretical",14,0.531751546666903,0.521848046986256
"Theoretical",15,0.52963477688911,0.520391510520506
"Theoretical",16,0.52778260333354,0.519117041112974
"Theoretical",17,0.526148332549214,0.517992509282799
"Theoretical",18,0.524695647407591,0.516992925433755
"Theoretical",19,0.523395876491402,0.516098560937241
"Theoretical",20,0.522226082666832,0.515293632890379
